"('Date',_'')","('Adj_Close',_'AAPL')","('Close',_'AAPL')","('High',_'AAPL')","('Low',_'AAPL')","('Open',_'AAPL')","('Volume',_'AAPL')"
2023-02-13,151.65296936035156,153.85000610351562,154.25999450683594,150.9199981689453,150.9499969482422,62199000
2023-02-14,151.01226806640625,153.1999969482422,153.77000427246094,150.86000061035156,152.1199951171875,61707600
2023-02-15,153.11184692382812,155.3300018310547,155.5,152.8800048828125,153.11000061035156,65573800
2023-02-16,151.51498413085938,153.7100067138672,156.3300018310547,153.35000610351562,153.50999450683594,68167900
2023-02-17,150.37155151367188,152.5500030517578,153.0,150.85000610351562,152.35000610351562,59144100
2023-02-21,146.35964965820312,148.47999572753906,151.3000030517578,148.41000366210938,150.1999969482422,58867200
2023-02-22,146.78353881835938,148.91000366210938,149.9499969482422,147.16000366210938,148.8699951171875,51011300
2023-02-23,147.26654052734375,149.39999389648438,150.33999633789062,147.24000549316406,150.08999633789062,48394200
2023-02-24,144.61492919921875,146.7100067138672,147.19000244140625,145.72000122070312,147.11000061035156,55469600
2023-02-27,145.80764770507812,147.9199981689453,149.1699981689453,147.4499969482422,147.7100067138672,44998500
2023-02-28,145.30494689941406,147.41000366210938,149.0800018310547,146.8300018310547,147.0500030517578,50547000
2023-03-01,143.23492431640625,145.30999755859375,147.22999572753906,145.00999450683594,146.8300018310547,55479000
2023-03-02,143.8263702392578,145.91000366210938,146.7100067138672,143.89999389648438,144.3800048828125,52238100
2023-03-03,148.87322998046875,151.02999877929688,151.11000061035156,147.3300018310547,148.0399932861328,70732300
2023-03-06,151.63328552246094,153.8300018310547,156.3000030517578,153.4600067138672,153.7899932861328,87558000
2023-03-07,149.43511962890625,151.60000610351562,154.02999877929688,151.1300048828125,153.6999969482422,56182000
2023-03-08,150.68698120117188,152.8699951171875,153.47000122070312,151.8300018310547,152.80999755859375,47204800
2023-03-09,148.43954467773438,150.58999633789062,154.5399932861328,150.22999572753906,153.55999755859375,53833600
2023-03-10,146.37939453125,148.5,150.94000244140625,147.61000061035156,150.2100067138672,68572400
2023-03-13,148.3212432861328,150.47000122070312,153.13999938964844,147.6999969482422,147.80999755859375,84457100
2023-03-14,150.41098022460938,152.58999633789062,153.39999389648438,150.10000610351562,151.27999877929688,73695900
2023-03-15,150.80526733398438,152.99000549316406,153.25,149.9199981689453,151.19000244140625,77167900
2023-03-16,153.62442016601562,155.85000610351562,156.4600067138672,151.63999938964844,152.16000366210938,76161100
2023-03-17,152.78656005859375,155.0,156.74000549316406,154.27999877929688,156.0800018310547,98944600
2023-03-20,155.1522979736328,157.39999389648438,157.82000732421875,154.14999389648438,155.07000732421875,73641400
2023-03-21,157.0054473876953,159.27999877929688,159.39999389648438,156.5399932861328,157.32000732421875,73938300
2023-03-22,155.57615661621094,157.8300018310547,162.13999938964844,157.80999755859375,159.3000030517578,75701800
2023-03-23,156.6604461669922,158.92999267578125,161.5500030517578,157.67999267578125,158.8300018310547,67622100
2023-03-24,157.9615936279297,160.25,160.33999633789062,157.85000610351562,158.86000061035156,59196500
2023-03-27,156.01976013183594,158.27999877929688,160.77000427246094,157.8699951171875,159.94000244140625,52390300
2023-03-28,155.3987274169922,157.64999389648438,158.49000549316406,155.97999572753906,157.97000122070312,45992200
2023-03-29,158.4741668701172,160.77000427246094,161.0500030517578,159.35000610351562,159.3699951171875,51305700
2023-03-30,160.04144287109375,162.36000061035156,162.47000122070312,161.27000427246094,161.52999877929688,49501700
2023-03-31,162.54518127441406,164.89999389648438,165.0,161.91000366210938,162.44000244140625,68749800
2023-04-03,163.7970428466797,166.1699981689453,166.2899932861328,164.22000122070312,164.27000427246094,56976200
2023-04-04,163.26478576660156,165.6300048828125,166.83999633789062,165.11000061035156,166.60000610351562,46278300
2023-04-05,161.4214630126953,163.75999450683594,165.0500030517578,161.8000030517578,164.74000549316406,51511700
2023-04-06,162.3086395263672,164.66000366210938,164.9600067138672,162.0,162.42999267578125,45390100
2023-04-10,159.71615600585938,162.02999877929688,162.02999877929688,160.0800018310547,161.4199981689453,47716900
2023-04-11,158.50375366210938,160.8000030517578,162.36000061035156,160.50999450683594,162.35000610351562,47644200
2023-04-12,157.81375122070312,160.10000610351562,162.05999755859375,159.77999877929688,161.22000122070312,50133100
2023-04-13,163.19578552246094,165.55999755859375,165.8000030517578,161.4199981689453,161.6300048828125,68445600
2023-04-14,162.85076904296875,165.2100067138672,166.32000732421875,163.82000732421875,164.58999633789062,49386500
2023-04-17,162.87046813964844,165.22999572753906,165.38999938964844,164.02999877929688,165.08999633789062,41516200
2023-04-18,164.09275817871094,166.47000122070312,167.41000366210938,165.64999389648438,166.10000610351562,49923000
2023-04-19,165.2362060546875,167.6300048828125,168.16000366210938,165.5399932861328,165.8000030517578,47720200
2023-04-20,164.2701873779297,166.64999389648438,167.8699951171875,165.55999755859375,166.08999633789062,52456400
2023-04-21,162.66348266601562,165.02000427246094,166.4499969482422,164.49000549316406,165.0500030517578,58337300
2023-04-24,162.96905517578125,165.3300018310547,165.60000610351562,163.88999938964844,165.0,41949600
2023-04-25,161.43133544921875,163.77000427246094,166.30999755859375,163.72999572753906,165.19000244140625,48714100
2023-04-26,161.4214630126953,163.75999450683594,165.27999877929688,162.8000030517578,163.05999755859375,45498800
2023-04-27,166.00506591796875,168.41000366210938,168.55999755859375,165.19000244140625,165.19000244140625,64902300
2023-04-28,167.25692749023438,169.67999267578125,169.85000610351562,167.8800048828125,168.49000549316406,55275900
2023-05-01,167.16819763183594,169.58999633789062,170.4499969482422,168.63999938964844,169.27999877929688,52472900
2023-05-02,166.1332244873047,168.5399932861328,170.35000610351562,167.5399932861328,170.08999633789062,48425700
2023-05-03,165.0587921142578,167.4499969482422,170.9199981689453,167.16000366210938,169.5,65136000
2023-05-04,163.42247009277344,165.7899932861328,167.0399932861328,164.30999755859375,164.88999938964844,81235400
2023-05-05,171.0913848876953,173.57000732421875,174.3000030517578,170.75999450683594,170.97999572753906,113453200
2023-05-08,171.02235412597656,173.5,173.85000610351562,172.11000061035156,172.47999572753906,55962800
2023-05-09,169.3170928955078,171.77000427246094,173.5399932861328,171.60000610351562,173.0500030517578,45326900
2023-05-10,171.08151245117188,173.55999755859375,174.02999877929688,171.89999389648438,173.02000427246094,53724500
2023-05-11,171.268798828125,173.75,174.58999633789062,172.1699981689453,173.85000610351562,49514700
2023-05-12,170.3409423828125,172.57000732421875,174.05999755859375,171.0,173.6199951171875,45533100
2023-05-15,169.84739685058594,172.07000732421875,173.2100067138672,171.47000122070312,173.16000366210938,37266700
2023-05-16,169.84739685058594,172.07000732421875,173.13999938964844,171.8000030517578,171.99000549316406,42110300
2023-05-17,170.45941162109375,172.69000244140625,172.92999267578125,170.4199981689453,171.7100067138672,57951600
2023-05-18,172.78890991210938,175.0500030517578,175.24000549316406,172.5800018310547,173.0,65496700
2023-05-19,172.8975067138672,175.16000366210938,176.38999938964844,174.94000244140625,176.38999938964844,55809500
2023-05-22,171.9499053955078,174.1999969482422,174.7100067138672,173.4499969482422,173.97999572753906,43570900
2023-05-23,169.34397888183594,171.55999755859375,173.3800048828125,171.27999877929688,173.1300048828125,50747300
2023-05-24,169.620361328125,171.83999633789062,172.4199981689453,170.52000427246094,171.08999633789062,45143500
2023-05-25,170.75550842285156,172.99000549316406,173.89999389648438,171.69000244140625,172.41000366210938,56058300
2023-05-26,173.1639862060547,175.42999267578125,175.77000427246094,173.11000061035156,173.32000732421875,54835000
2023-05-30,175.0098419189453,177.3000030517578,178.99000549316406,176.57000732421875,176.9600067138672,55964400
2023-05-31,174.9605255126953,177.25,179.35000610351562,176.75999450683594,177.3300018310547,99625300
2023-06-01,177.7637939453125,180.08999633789062,180.1199951171875,176.92999267578125,177.6999969482422,68901800
2023-06-02,178.61268615722656,180.9499969482422,181.77999877929688,179.25999450683594,181.02999877929688,61996900
2023-06-05,177.26039123535156,179.5800018310547,184.9499969482422,178.0399932861328,182.6300048828125,121946500
2023-06-06,176.89520263671875,179.2100067138672,180.1199951171875,177.42999267578125,179.97000122070312,64848400
2023-06-07,175.52316284179688,177.82000732421875,181.2100067138672,177.32000732421875,178.44000244140625,61944600
2023-06-08,178.23764038085938,180.57000732421875,180.83999633789062,177.4600067138672,177.89999389648438,50214900
2023-06-09,178.62258911132812,180.9600067138672,182.22999572753906,180.6300048828125,181.5,48900000
2023-06-12,181.41603088378906,183.7899932861328,183.88999938964844,180.97000122070312,181.27000427246094,54274900
2023-06-13,180.94223022460938,183.30999755859375,184.14999389648438,182.44000244140625,182.8000030517578,54929100
2023-06-14,181.57395935058594,183.9499969482422,184.38999938964844,182.02000427246094,183.3699951171875,57462900
2023-06-15,183.60736083984375,186.00999450683594,186.52000427246094,183.77999877929688,183.9600067138672,65433200
2023-06-16,182.5314178466797,184.9199981689453,186.99000549316406,184.27000427246094,186.72999572753906,101256200
2023-06-20,182.62025451660156,185.00999450683594,186.10000610351562,184.41000366210938,184.41000366210938,49799100
2023-06-21,181.5838623046875,183.9600067138672,185.41000366210938,182.58999633789062,184.89999389648438,49515700
2023-06-22,184.5845489501953,187.0,187.0500030517578,183.6699981689453,183.74000549316406,51245300
2023-06-23,184.2686767578125,186.67999267578125,187.55999755859375,185.00999450683594,185.5500030517578,53117000
2023-06-26,182.87689208984375,185.27000427246094,188.0500030517578,185.22999572753906,186.8300018310547,48088700
2023-06-27,185.63088989257812,188.05999755859375,188.38999938964844,185.6699981689453,185.88999938964844,50730800
2023-06-28,186.80551147460938,189.25,189.89999389648438,187.60000610351562,187.92999267578125,51216800
2023-06-29,187.14111328125,189.58999633789062,190.07000732421875,188.94000244140625,189.0800018310547,46347300
2023-06-30,191.46453857421875,193.97000122070312,194.47999572753906,191.25999450683594,191.6300048828125,85213200
2023-07-03,189.9740447998047,192.4600067138672,193.8800048828125,191.75999450683594,193.77999877929688,31458200
