0,1,2,3,4
2026,2026,2026,$,4752.0
2027,2027,2027,3708,3708.0
2028,2028,2028,1981,1981.0
2029,2029,2029,1306,1306.0
2030,2030,2030,788,788.0
Thereafter,Thereafter,Thereafter,773,773.0
Total,Total,Total,$,13308.0
