0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29
,,,2025,2025.0,2025,Change,Change,Change,2024,2024.0,2024,Change,Change,Change,2023,2023.0,2023
Research and development,Research and development,Research and development,$,34550.0,,10,10,%,$,31370.0,,5,5,%,$,29915.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,8,8.0,%,,,,8,8.0,%,,,,8,8.0,%
"Selling, general and administrative","Selling, general and administrative","Selling, general and administrative",$,27601.0,,6,6,%,$,26097.0,,5,5,%,$,24932.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,7,7.0,%,,,,7,7.0,%,,,,7,7.0,%
Total operating expenses,Total operating expenses,Total operating expenses,$,62151.0,,8,8,%,$,57467.0,,5,5,%,$,54847.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,15,15.0,%,,,,15,15.0,%,,,,14,14.0,%
