0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,167045,,,,,$,101328,,,,,$,66952,,,,,$,25052,,,,,$,30658,,,,,$,—,,,,,$,391035,
Cost of sales,Cost of sales,Cost of sales,"(89,587)","(89,587)",,,,,"(55,197)","(55,197)",,,,,"(37,519)","(37,519)",,,,,"(11,744)","(11,744)",,,,,"(16,305)","(16,305)",,,,,—,—,,,,,"(210,352)","(210,352)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(31,370)","(31,370)",,,,,"(31,370)","(31,370)",
Selling and marketing,Selling and marketing,Selling and marketing,"(9,802)","(9,802)",,,,,"(4,341)","(4,341)",,,,,"(2,351)","(2,351)",,,,,(854),(854),,,,,"(1,291)","(1,291)",,,,,—,—,,,,,"(18,639)","(18,639)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(7,458)","(7,458)",,,,,"(7,458)","(7,458)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,67656,,,,,$,41790,,,,,$,27082,,,,,$,12454,,,,,$,13062,,,,,$,"(38,828)",,,,,$,123216,
