0,1,2,6,7,8,12,13,14,18,19,20,24,25,26,30,31,32,36,37,38
,,,September 2020,September 2020,September 2020,September 2021,September 2021,September 2021,September 2022,September 2022,September 2022,September 2023,September 2023,September 2023,September 2024,September 2024,September 2024,September 2025,September 2025,September 2025
Apple Inc.,Apple Inc.,Apple Inc.,$,100,,$,132,,$,136,,$,155,,$,208,,$,234,
S&P 500 Index,S&P 500 Index,S&P 500 Index,$,100,,$,137,,$,115,,$,136,,$,185,,$,217,
Dow Jones U.S. Technology Total Stock Market Index,Dow Jones U.S. Technology Total Stock Market Index,Dow Jones U.S. Technology Total Stock Market Index,$,100,,$,147,,$,107,,$,147,,$,220,,$,287,
