0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,162560,,,,,$,94294,,,,,$,72559,,,,,$,24257,,,,,$,29615,,,,,$,—,,,,,$,383285,
Cost of sales,Cost of sales,Cost of sales,"(92,394)","(92,394)",,,,,"(54,101)","(54,101)",,,,,"(39,787)","(39,787)",,,,,"(11,542)","(11,542)",,,,,"(16,313)","(16,313)",,,,,—,—,,,,,"(214,137)","(214,137)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(29,915)","(29,915)",,,,,"(29,915)","(29,915)",
Selling and marketing,Selling and marketing,Selling and marketing,"(9,658)","(9,658)",,,,,"(4,095)","(4,095)",,,,,"(2,444)","(2,444)",,,,,(827),(827),,,,,"(1,236)","(1,236)",,,,,—,—,,,,,"(18,260)","(18,260)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(6,672)","(6,672)",,,,,"(6,672)","(6,672)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,60508,,,,,$,36098,,,,,$,30328,,,,,$,11888,,,,,$,12066,,,,,$,"(36,587)",,,,,$,114301,
