0,1,2,6,7,8,12,13,14,18,19,20,24,25,26
Periods,Periods,Periods,Total Number of Shares Purchased,Total Number of Shares Purchased,Total Number of Shares Purchased,Average Price Paid Per Share,Average Price Paid Per Share,Average Price Paid Per Share,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1)
"June 29, 2025 to August 2, 2025:","June 29, 2025 to August 2, 2025:","June 29, 2025 to August 2, 2025:",,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,33265,33265,,$,210.43,,33265,33265,,,,
"August 3, 2025 to August 30, 2025:","August 3, 2025 to August 30, 2025:","August 3, 2025 to August 30, 2025:",,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,28986,28986,,$,224.25,,28986,28986,,,,
"August 31, 2025 to September 27, 2025:","August 31, 2025 to September 27, 2025:","August 31, 2025 to September 27, 2025:",,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,27247,27247,,$,238.56,,27247,27247,,,,
Total,Total,Total,89498,89498,,,,,,,,$,99779,
