0,1,2,6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference
Exhibit Number,Exhibit Number,Exhibit Number,Exhibit Description,Exhibit Description,Exhibit Description,Form,Form,Form,,,,Exhibit,Exhibit,Exhibit,,,,Filing Date/ Period End Date,Filing Date/ Period End Date,Filing Date/ Period End Date
10.9*,10.9*,10.9*,Apple Inc. Executive Cash Incentive Plan.,Apple Inc. Executive Cash Incentive Plan.,Apple Inc. Executive Cash Incentive Plan.,8-K,8-K,8-K,,,,10.1,10.1,10.1,,,,8/19/22,8/19/22,8/19/22
10.10*,10.10*,10.10*,"Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.","Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.","Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.",10-Q,10-Q,10-Q,,,,10.1,10.1,10.1,,,,12/31/22,12/31/22,12/31/22
10.11*,10.11*,10.11*,"Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.","Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.","Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 25, 2022.",10-Q,10-Q,10-Q,,,,10.2,10.2,10.2,,,,12/31/22,12/31/22,12/31/22
10.12*,10.12*,10.12*,"Form of Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.",10-K,10-K,10-K,,,,10.19,10.19,10.19,,,,9/28/24,9/28/24,9/28/24
10.13*,10.13*,10.13*,"Form of Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.",10-K,10-K,10-K,,,,10.20,10.20,10.20,,,,9/28/24,9/28/24,9/28/24
10.14*,10.14*,10.14*,"Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of CEO Restricted Stock Unit Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.",10-K,10-K,10-K,,,,10.21,10.21,10.21,,,,9/28/24,9/28/24,9/28/24
10.15*,10.15*,10.15*,"Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.","Form of CEO Performance Award Agreement under 2022 Employee Stock Plan effective as of September 29, 2024.",10-K,10-K,10-K,,,,10.22,10.22,10.22,,,,9/28/24,9/28/24,9/28/24
19.1,19.1,19.1,Insider Trading Policy.,Insider Trading Policy.,Insider Trading Policy.,10-K,10-K,10-K,,,,19.1,19.1,19.1,,,,9/28/24,9/28/24,9/28/24
21.1**,21.1**,21.1**,Subsidiaries of the Registrant.,Subsidiaries of the Registrant.,Subsidiaries of the Registrant.,,,,,,,,,,,,,,,
23.1**,23.1**,23.1**,Consent of Independent Registered Public Accounting Firm.,Consent of Independent Registered Public Accounting Firm.,Consent of Independent Registered Public Accounting Firm.,,,,,,,,,,,,,,,
24.1**,24.1**,24.1**,Power of Attorney (included on the Signatures page of this Annual Report on Form 10-K).,Power of Attorney (included on the Signatures page of this Annual Report on Form 10-K).,Power of Attorney (included on the Signatures page of this Annual Report on Form 10-K).,,,,,,,,,,,,,,,
31.1**,31.1**,31.1**,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,,,,,,,,,,,,,,,
31.2**,31.2**,31.2**,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,,,,,,,,,,,,,,,
32.1***,32.1***,32.1***,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,,,,,,,,,,,,,,,
97.1*,97.1*,97.1*,Rule 10D-1 Recovery Policy,Rule 10D-1 Recovery Policy,Rule 10D-1 Recovery Policy,10-K,10-K,10-K,,,,97.1,97.1,97.1,,,,9/28/24,9/28/24,9/28/24
