0,1,2,3,4,5,9,10,11
,,,Number ofRSUs(in thousands),Number ofRSUs(in thousands),Number ofRSUs(in thousands),Weighted-AverageGrant-Date FairValue Per RSU,Weighted-AverageGrant-Date FairValue Per RSU,Weighted-AverageGrant-Date FairValue Per RSU
"Balance as of September 28, 2024","Balance as of September 28, 2024","Balance as of September 28, 2024",163326,163326,,$,158.73,
RSUs granted,RSUs granted,RSUs granted,73466,73466,,$,226.68,
RSUs vested,RSUs vested,RSUs vested,"(76,845)","(76,845)",,$,159.85,
RSUs forfeited,RSUs forfeited,RSUs forfeited,"(8,373)","(8,373)",,$,183.03,
"Balance as of September 27, 2025","Balance as of September 27, 2025","Balance as of September 27, 2025",151574,151574,,$,189.75,
