0,1,2,3,4,5,9,10,11
,,,2025,2025.0,2025.0,2024,2024.0,2024.0
Income taxes payable,Income taxes payable,Income taxes payable,$,13016.0,,$,26601.0,
Accrued distribution and marketing,Accrued distribution and marketing,Accrued distribution and marketing,8919,8919.0,,7679,7679.0,
Other current liabilities,Other current liabilities,Other current liabilities,44452,44452.0,,44024,44024.0,
Total other current liabilities,Total other current liabilities,Total other current liabilities,$,66387.0,,$,78304.0,
