0,1,2,3,4,5,9,10,11,15,16,17
,,,2025,2025.0,2025.0,2024,2024.0,2024.0,2023,2023.0,2023.0
Numerator:,Numerator:,Numerator:,,,,,,,,,
Net income,Net income,Net income,$,112010.0,,$,93736.0,,$,96995.0,
Denominator:,Denominator:,Denominator:,,,,,,,,,
Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,14948500,14948500.0,,15343783,15343783.0,,15744231,15744231.0,
Effect of dilutive share-based awards,Effect of dilutive share-based awards,Effect of dilutive share-based awards,56197,56197.0,,64312,64312.0,,68316,68316.0,
Weighted-average diluted shares,Weighted-average diluted shares,Weighted-average diluted shares,15004697,15004697.0,,15408095,15408095.0,,15812547,15812547.0,
Basic earnings per share,Basic earnings per share,Basic earnings per share,$,7.49,,$,6.11,,$,6.16,
Diluted earnings per share,Diluted earnings per share,Diluted earnings per share,$,7.46,,$,6.08,,$,6.13,
