0,1,2,3,4,5,9,10,11,15,16,17
,,,2025,2025,2025.0,2024,2024,2024.0,2023,2023,2023.0
"Common stock outstanding, beginning balances","Common stock outstanding, beginning balances","Common stock outstanding, beginning balances",15116786,15116786,,15550061,15550061,,15943425,15943425,
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(401,672)","(401,672)",,"(499,372)","(499,372)",,"(471,419)","(471,419)",
"Common stock issued, net of shares withheld for employee taxes","Common stock issued, net of shares withheld for employee taxes","Common stock issued, net of shares withheld for employee taxes",58146,58146,,66097,66097,,78055,78055,
"Common stock outstanding, ending balances","Common stock outstanding, ending balances","Common stock outstanding, ending balances",14773260,14773260,,15116786,15116786,,15550061,15550061,
