0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,178353,,,,,$,111032,,,,,$,64377,,,,,$,28703,,,,,$,33696,,,,,$,—,,,,,$,416161,
Cost of sales,Cost of sales,Cost of sales,"(95,699)","(95,699)",,,,,"(58,617)","(58,617)",,,,,"(35,141)","(35,141)",,,,,"(13,779)","(13,779)",,,,,"(17,724)","(17,724)",,,,,—,—,,,,,"(220,960)","(220,960)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(34,550)","(34,550)",,,,,"(34,550)","(34,550)",
Selling and marketing,Selling and marketing,Selling and marketing,"(10,174)","(10,174)",,,,,"(4,676)","(4,676)",,,,,"(2,319)","(2,319)",,,,,(969),(969),,,,,"(1,386)","(1,386)",,,,,—,—,,,,,"(19,524)","(19,524)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(8,077)","(8,077)",,,,,"(8,077)","(8,077)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,72480,,,,,$,47739,,,,,$,26917,,,,,$,13955,,,,,$,14586,,,,,$,"(42,627)",,,,,$,133050,
