0,1,2,3,4,5,9,10,11,15,16,17
,,,2025,2025,2025.0,2024,2024,2024.0,2023,2023,2023.0
Beginning balances,Beginning balances,Beginning balances,$,22038,,$,19454,,$,16758,
Increases related to tax positions taken during a prior year,Increases related to tax positions taken during a prior year,Increases related to tax positions taken during a prior year,1971,1971,,1727,1727,,2044,2044,
Decreases related to tax positions taken during a prior year,Decreases related to tax positions taken during a prior year,Decreases related to tax positions taken during a prior year,(71),(71),,(386),(386),,"(1,463)","(1,463)",
Increases related to tax positions taken during the current year,Increases related to tax positions taken during the current year,Increases related to tax positions taken during the current year,3795,3795,,2542,2542,,2628,2628,
Decreases related to settlements with taxing authorities,Decreases related to settlements with taxing authorities,Decreases related to settlements with taxing authorities,"(2,939)","(2,939)",,"(1,070)","(1,070)",,(19),(19),
Decreases related to expiration of the statute of limitations,Decreases related to expiration of the statute of limitations,Decreases related to expiration of the statute of limitations,"(1,552)","(1,552)",,(229),(229),,(494),(494),
Ending balances,Ending balances,Ending balances,$,23242,,$,22038,,$,19454,
