0,1,2,3,4
2026,2026,2026,$,12393.0
2027,2027,2027,10078,10078.0
2028,2028,2028,9300,9300.0
2029,2029,2029,5235,5235.0
2030,2030,2030,4972,4972.0
Thereafter,Thereafter,Thereafter,49303,49303.0
Total term debt principal,Total term debt principal,Total term debt principal,$,91281.0
