0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022",,,,"September 25, 2021","September 25, 2021","September 25, 2021"
"Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances",$,50672,,,,,$,63090,,,,,$,65339,
Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,64849,64849,,,,,57365,57365,,,,,50779,50779,
Common stock issued,Common stock issued,Common stock issued,1346,1346,,,,,1175,1175,,,,,1105,1105,
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(3,521)","(3,521)",,,,,"(2,971)","(2,971)",,,,,"(2,627)","(2,627)",
Share-based compensation,Share-based compensation,Share-based compensation,11138,11138,,,,,9280,9280,,,,,8108,8108,
Ending balances,Ending balances,Ending balances,73812,73812,,,,,64849,64849,,,,,57365,57365,
Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(3,068)","(3,068)",,,,,5562,5562,,,,,14966,14966,
Net income,Net income,Net income,96995,96995,,,,,99803,99803,,,,,94680,94680,
Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,"(14,996)","(14,996)",,,,,"(14,793)","(14,793)",,,,,"(14,431)","(14,431)",
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(2,099)","(2,099)",,,,,"(3,454)","(3,454)",,,,,"(4,151)","(4,151)",
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(77,046)","(77,046)",,,,,"(90,186)","(90,186)",,,,,"(85,502)","(85,502)",
Ending balances,Ending balances,Ending balances,(214),(214),,,,,"(3,068)","(3,068)",,,,,5562,5562,
Accumulated other comprehensive income/(loss):,Accumulated other comprehensive income/(loss):,Accumulated other comprehensive income/(loss):,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(11,109)","(11,109)",,,,,163,163,,,,,(406),(406),
Other comprehensive income/(loss),Other comprehensive income/(loss),Other comprehensive income/(loss),(343),(343),,,,,"(11,272)","(11,272)",,,,,569,569,
Ending balances,Ending balances,Ending balances,"(11,452)","(11,452)",,,,,"(11,109)","(11,109)",,,,,163,163,
"Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances",$,62146,,,,,$,50672,,,,,$,63090,
Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,$,0.94,,,,,$,0.90,,,,,$,0.85,
