0,1,2,3,4,5,9,10,11,15,16,17
,,,Number ofRSUs(in thousands),Number ofRSUs(in thousands),Number ofRSUs(in thousands),Weighted-Average Grant Date Fair Value Per RSU,Weighted-Average Grant Date Fair Value Per RSU,Weighted-Average Grant Date Fair Value Per RSU,AggregateFair Value(in millions),AggregateFair Value(in millions),AggregateFair Value(in millions)
"Balance as of September 26, 2020","Balance as of September 26, 2020","Balance as of September 26, 2020",310778,310778,,$,51.58,,,,
RSUs granted,RSUs granted,RSUs granted,89363,89363,,$,116.33,,,,
RSUs vested,RSUs vested,RSUs vested,"(145,766)","(145,766)",,$,50.71,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(13,948)","(13,948)",,$,68.95,,,,
"Balance as of September 25, 2021","Balance as of September 25, 2021","Balance as of September 25, 2021",240427,240427,,$,75.16,,,,
RSUs granted,RSUs granted,RSUs granted,91674,91674,,$,150.70,,,,
RSUs vested,RSUs vested,RSUs vested,"(115,861)","(115,861)",,$,72.12,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(14,739)","(14,739)",,$,99.77,,,,
"Balance as of September 24, 2022","Balance as of September 24, 2022","Balance as of September 24, 2022",201501,201501,,$,109.48,,,,
RSUs granted,RSUs granted,RSUs granted,88768,88768,,$,150.87,,,,
RSUs vested,RSUs vested,RSUs vested,"(101,878)","(101,878)",,$,97.31,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(8,144)","(8,144)",,$,127.98,,,,
"Balance as of September 30, 2023","Balance as of September 30, 2023","Balance as of September 30, 2023",180247,180247,,$,135.91,,$,30860,
