0,1,2,3,4
2024,2024,2024,$,4258.0
2025,2025,2025,2674,2674.0
2026,2026,2026,3434,3434.0
2027,2027,2027,1277,1277.0
2028,2028,2028,5878,5878.0
Thereafter,Thereafter,Thereafter,3215,3215.0
Total,Total,Total,$,20736.0
