0,1,2,6,7,8
Index to Consolidated Financial Statements,Index to Consolidated Financial Statements,Index to Consolidated Financial Statements,Page,Page,Page
"Consolidated Statements of Operations for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Operations for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Operations for the years ended September 30, 2023, September 24, 2022 and September 25, 2021",28,28,28
"Consolidated Statements of Comprehensive Income for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Comprehensive Income for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Comprehensive Income for the years ended September 30, 2023, September 24, 2022 and September 25, 2021",29,29,29
"Consolidated Balance Sheets as of September 30, 2023 and September 24, 2022","Consolidated Balance Sheets as of September 30, 2023 and September 24, 2022","Consolidated Balance Sheets as of September 30, 2023 and September 24, 2022",30,30,30
"Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September 24, 2022 and September 25, 2021",31,31,31
"Consolidated Statements of Cash Flows for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Cash Flows for the years ended September 30, 2023, September 24, 2022 and September 25, 2021","Consolidated Statements of Cash Flows for the years ended September 30, 2023, September 24, 2022 and September 25, 2021",32,32,32
Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,33,33,33
Reports of Independent Registered Public Accounting Firm,Reports of Independent Registered Public Accounting Firm,Reports of Independent Registered Public Accounting Firm,49,49,49
