0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023,2023.0,2022,2022,2022.0,2021,2021,2021.0
Beginning balances,Beginning balances,Beginning balances,$,16758,,$,15477,,$,16475,
Increases related to tax positions taken during a prior year,Increases related to tax positions taken during a prior year,Increases related to tax positions taken during a prior year,2044,2044,,2284,2284,,816,816,
Decreases related to tax positions taken during a prior year,Decreases related to tax positions taken during a prior year,Decreases related to tax positions taken during a prior year,"(1,463)","(1,463)",,"(1,982)","(1,982)",,"(1,402)","(1,402)",
Increases related to tax positions taken during the current year,Increases related to tax positions taken during the current year,Increases related to tax positions taken during the current year,2628,2628,,1936,1936,,1607,1607,
Decreases related to settlements with taxing authorities,Decreases related to settlements with taxing authorities,Decreases related to settlements with taxing authorities,(19),(19),,(28),(28),,"(1,838)","(1,838)",
Decreases related to expiration of the statute of limitations,Decreases related to expiration of the statute of limitations,Decreases related to expiration of the statute of limitations,(494),(494),,(929),(929),,(181),(181),
Ending balances,Ending balances,Ending balances,$,19454,,$,16758,,$,15477,
