0,1,2,6,7,8,12,13,14,18,19,20
Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Financial Statement Line Items,Financial Statement Line Items,Financial Statement Line Items,2023,2023.0,2023.0,2022,2022.0,2022.0
Right-of-use assets:,Right-of-use assets:,Right-of-use assets:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other non-current assets,Other non-current assets,Other non-current assets,$,10661.0,,$,10417.0,
Finance leases,Finance leases,Finance leases,"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",1015,1015.0,,952,952.0,
Total right-of-use assets,Total right-of-use assets,Total right-of-use assets,,,,$,11676.0,,$,11369.0,
Lease liabilities:,Lease liabilities:,Lease liabilities:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other current liabilities,Other current liabilities,Other current liabilities,$,1410.0,,$,1534.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,10408,10408.0,,9936,9936.0,
Finance leases,Finance leases,Finance leases,Other current liabilities,Other current liabilities,Other current liabilities,165,165.0,,129,129.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,859,859.0,,812,812.0,
Total lease liabilities,Total lease liabilities,Total lease liabilities,,,,$,12842.0,,$,12411.0,
