0,1,2,3,4,5,9,10,11
,,,2023,2023.0,2023.0,2022,2022.0,2022.0
Long-term taxes payable,Long-term taxes payable,Long-term taxes payable,$,15457.0,,$,16657.0,
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,34391,34391.0,,32485,32485.0,
Total other non-current liabilities,Total other non-current liabilities,Total other non-current liabilities,$,49848.0,,$,49142.0,
