0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023,2023,2022,2022,2022,2021,2021,2021
Computed expected tax,Computed expected tax,Computed expected tax,$,23885,,$,25012,,$,22933,
"State taxes, net of federal effect","State taxes, net of federal effect","State taxes, net of federal effect",1124,1124,,1518,1518,,1151,1151,
Earnings of foreign subsidiaries,Earnings of foreign subsidiaries,Earnings of foreign subsidiaries,"(5,744)","(5,744)",,"(4,366)","(4,366)",,"(4,715)","(4,715)",
"Research and development credit, net","Research and development credit, net","Research and development credit, net","(1,212)","(1,212)",,"(1,153)","(1,153)",,"(1,033)","(1,033)",
Excess tax benefits from equity awards,Excess tax benefits from equity awards,Excess tax benefits from equity awards,"(1,120)","(1,120)",,"(1,871)","(1,871)",,"(2,137)","(2,137)",
Foreign-derived intangible income deduction,Foreign-derived intangible income deduction,Foreign-derived intangible income deduction,—,—,,(296),(296),,"(1,372)","(1,372)",
Other,Other,Other,(192),(192),,456,456,,(300),(300),
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,16741,,$,19300,,$,14527,
Effective tax rate,Effective tax rate,Effective tax rate,14.7,14.7,%,16.2,16.2,%,13.3,13.3,%
