0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023,2023.0,2022,2022,2022.0,2021,2021,2021.0
Interest and dividend income,Interest and dividend income,Interest and dividend income,$,3750,,$,2825,,$,2843,
Interest expense,Interest expense,Interest expense,"(3,933)","(3,933)",,"(2,931)","(2,931)",,"(2,645)","(2,645)",
"Other income/(expense), net","Other income/(expense), net","Other income/(expense), net",(382),(382),,(228),(228),,60,60,
"Total other income/(expense), net","Total other income/(expense), net","Total other income/(expense), net",$,(565),,$,(334),,$,258,
