0,1,2,3,4,5,6,7,8,9,10,11
,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022"
ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:
Current assets:,Current assets:,Current assets:,,,,,,,,,
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,$,29965,,,,,$,23646,
Marketable securities,Marketable securities,Marketable securities,31590,31590,,,,,24658,24658,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net",29508,29508,,,,,28184,28184,
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,31477,31477,,,,,32748,32748,
Inventories,Inventories,Inventories,6331,6331,,,,,4946,4946,
Other current assets,Other current assets,Other current assets,14695,14695,,,,,21223,21223,
Total current assets,Total current assets,Total current assets,143566,143566,,,,,135405,135405,
Non-current assets:,Non-current assets:,Non-current assets:,,,,,,,,,
Marketable securities,Marketable securities,Marketable securities,100544,100544,,,,,120805,120805,
"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",43715,43715,,,,,42117,42117,
Other non-current assets,Other non-current assets,Other non-current assets,64758,64758,,,,,54428,54428,
Total non-current assets,Total non-current assets,Total non-current assets,209017,209017,,,,,217350,217350,
Total assets,Total assets,Total assets,$,352583,,,,,$,352755,
LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:
Current liabilities:,Current liabilities:,Current liabilities:,,,,,,,,,
Accounts payable,Accounts payable,Accounts payable,$,62611,,,,,$,64115,
Other current liabilities,Other current liabilities,Other current liabilities,58829,58829,,,,,60845,60845,
Deferred revenue,Deferred revenue,Deferred revenue,8061,8061,,,,,7912,7912,
Commercial paper,Commercial paper,Commercial paper,5985,5985,,,,,9982,9982,
Term debt,Term debt,Term debt,9822,9822,,,,,11128,11128,
Total current liabilities,Total current liabilities,Total current liabilities,145308,145308,,,,,153982,153982,
Non-current liabilities:,Non-current liabilities:,Non-current liabilities:,,,,,,,,,
Term debt,Term debt,Term debt,95281,95281,,,,,98959,98959,
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,49848,49848,,,,,49142,49142,
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,145129,145129,,,,,148101,148101,
Total liabilities,Total liabilities,Total liabilities,290437,290437,,,,,302083,302083,
Commitments and contingencies,Commitments and contingencies,Commitments and contingencies,,,,,,,,,
Shareholders’ equity:,Shareholders’ equity:,Shareholders’ equity:,,,,,,,,,
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,550,061 and 15,943,425 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,550,061 and 15,943,425 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,550,061 and 15,943,425 shares issued and outstanding, respectively",73812,73812,,,,,64849,64849,
Accumulated deficit,Accumulated deficit,Accumulated deficit,(214),(214),,,,,"(3,068)","(3,068)",
Accumulated other comprehensive loss,Accumulated other comprehensive loss,Accumulated other comprehensive loss,"(11,452)","(11,452)",,,,,"(11,109)","(11,109)",
Total shareholders’ equity,Total shareholders’ equity,Total shareholders’ equity,62146,62146,,,,,50672,50672,
Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,$,352583,,,,,$,352755,
