0,1,2,3,4,5,9,10,11,15,16,17
Gross margin percentage:,Gross margin percentage:,Gross margin percentage:,,,,,,,,,
Products,Products,Products,36.5,36.5,%,36.3,36.3,%,35.3,35.3,%
Services,Services,Services,70.8,70.8,%,71.7,71.7,%,69.7,69.7,%
Total gross margin percentage,Total gross margin percentage,Total gross margin percentage,44.1,44.1,%,43.3,43.3,%,41.8,41.8,%
