0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022",,,,"September 25, 2021","September 25, 2021","September 25, 2021"
"Cash, cash equivalents and restricted cash, beginning balances","Cash, cash equivalents and restricted cash, beginning balances","Cash, cash equivalents and restricted cash, beginning balances",$,24977,,,,,$,35929,,,,,$,39789,
Operating activities:,Operating activities:,Operating activities:,,,,,,,,,,,,,,,
Net income,Net income,Net income,96995,96995,,,,,99803,99803,,,,,94680,94680,
Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,,,,,,,,,,,,,,,
Depreciation and amortization,Depreciation and amortization,Depreciation and amortization,11519,11519,,,,,11104,11104,,,,,11284,11284,
Share-based compensation expense,Share-based compensation expense,Share-based compensation expense,10833,10833,,,,,9038,9038,,,,,7906,7906,
Other,Other,Other,"(2,227)","(2,227)",,,,,1006,1006,,,,,"(4,921)","(4,921)",
Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,,,,,,,,,,,,,,,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net","(1,688)","(1,688)",,,,,"(1,823)","(1,823)",,,,,"(10,125)","(10,125)",
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,1271,1271,,,,,"(7,520)","(7,520)",,,,,"(3,903)","(3,903)",
Inventories,Inventories,Inventories,"(1,618)","(1,618)",,,,,1484,1484,,,,,"(2,642)","(2,642)",
Other current and non-current assets,Other current and non-current assets,Other current and non-current assets,"(5,684)","(5,684)",,,,,"(6,499)","(6,499)",,,,,"(8,042)","(8,042)",
Accounts payable,Accounts payable,Accounts payable,"(1,889)","(1,889)",,,,,9448,9448,,,,,12326,12326,
Other current and non-current liabilities,Other current and non-current liabilities,Other current and non-current liabilities,3031,3031,,,,,6110,6110,,,,,7475,7475,
Cash generated by operating activities,Cash generated by operating activities,Cash generated by operating activities,110543,110543,,,,,122151,122151,,,,,104038,104038,
Investing activities:,Investing activities:,Investing activities:,,,,,,,,,,,,,,,
Purchases of marketable securities,Purchases of marketable securities,Purchases of marketable securities,"(29,513)","(29,513)",,,,,"(76,923)","(76,923)",,,,,"(109,558)","(109,558)",
Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,39686,39686,,,,,29917,29917,,,,,59023,59023,
Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,5828,5828,,,,,37446,37446,,,,,47460,47460,
"Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","(10,959)","(10,959)",,,,,"(10,708)","(10,708)",,,,,"(11,085)","(11,085)",
Other,Other,Other,"(1,337)","(1,337)",,,,,"(2,086)","(2,086)",,,,,(385),(385),
Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,3705,3705,,,,,"(22,354)","(22,354)",,,,,"(14,545)","(14,545)",
Financing activities:,Financing activities:,Financing activities:,,,,,,,,,,,,,,,
Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,"(5,431)","(5,431)",,,,,"(6,223)","(6,223)",,,,,"(6,556)","(6,556)",
Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,"(15,025)","(15,025)",,,,,"(14,841)","(14,841)",,,,,"(14,467)","(14,467)",
Repurchases of common stock,Repurchases of common stock,Repurchases of common stock,"(77,550)","(77,550)",,,,,"(89,402)","(89,402)",,,,,"(85,971)","(85,971)",
"Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net",5228,5228,,,,,5465,5465,,,,,20393,20393,
Repayments of term debt,Repayments of term debt,Repayments of term debt,"(11,151)","(11,151)",,,,,"(9,543)","(9,543)",,,,,"(8,750)","(8,750)",
"Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net","(3,978)","(3,978)",,,,,3955,3955,,,,,1022,1022,
Other,Other,Other,(581),(581),,,,,(160),(160),,,,,976,976,
Cash used in financing activities,Cash used in financing activities,Cash used in financing activities,"(108,488)","(108,488)",,,,,"(110,749)","(110,749)",,,,,"(93,353)","(93,353)",
"Increase/(Decrease) in cash, cash equivalents and restricted cash","Increase/(Decrease) in cash, cash equivalents and restricted cash","Increase/(Decrease) in cash, cash equivalents and restricted cash",5760,5760,,,,,"(10,952)","(10,952)",,,,,"(3,860)","(3,860)",
"Cash, cash equivalents and restricted cash, ending balances","Cash, cash equivalents and restricted cash, ending balances","Cash, cash equivalents and restricted cash, ending balances",$,30737,,,,,$,24977,,,,,$,35929,
Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,,,,,,,,,,,,,,,
"Cash paid for income taxes, net","Cash paid for income taxes, net","Cash paid for income taxes, net",$,18679,,,,,$,19573,,,,,$,25385,
Cash paid for interest,Cash paid for interest,Cash paid for interest,$,3803,,,,,$,2865,,,,,$,2687,
