0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29
,,,2023,2023.0,2023.0,Change,Change,Change,2022,2022.0,2022.0,Change,Change,Change,2021,2021.0,2021.0
Net sales by category:,Net sales by category:,Net sales by category:,,,,,,,,,,,,,,,
iPhone (1),iPhone (1),iPhone (1),$,200583.0,,(2),(2),%,$,205489.0,,7,7,%,$,191973.0,
Mac (1),Mac (1),Mac (1),29357,29357.0,,(27),(27),%,40177,40177.0,,14,14,%,35190,35190.0,
iPad (1),iPad (1),iPad (1),28300,28300.0,,(3),(3),%,29292,29292.0,,(8),(8),%,31862,31862.0,
"Wearables, Home and Accessories (1)","Wearables, Home and Accessories (1)","Wearables, Home and Accessories (1)",39845,39845.0,,(3),(3),%,41241,41241.0,,7,7,%,38367,38367.0,
Services (2),Services (2),Services (2),85200,85200.0,,9,9,%,78129,78129.0,,14,14,%,68425,68425.0,
Total net sales,Total net sales,Total net sales,$,383285.0,,(3),(3),%,$,394328.0,,8,8,%,$,365817.0,
