0,1,2,3,4,5,9,10,11
,,,2023,2023.0,2023.0,2022,2022.0,2022.0
Derivative instruments designated as accounting hedges:,Derivative instruments designated as accounting hedges:,Derivative instruments designated as accounting hedges:,,,,,,
Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts,$,74730.0,,$,102670.0,
Interest rate contracts,Interest rate contracts,Interest rate contracts,$,19375.0,,$,20125.0,
Derivative instruments not designated as accounting hedges:,Derivative instruments not designated as accounting hedges:,Derivative instruments not designated as accounting hedges:,,,,,,
Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts,$,104777.0,,$,185381.0,
