0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023,2023.0,2022,2022,2022.0,2021,2021,2021.0
Federal:,Federal:,Federal:,,,,,,,,,
Current,Current,Current,$,9445,,$,7890,,$,8257,
Deferred,Deferred,Deferred,"(3,644)","(3,644)",,"(2,265)","(2,265)",,"(7,176)","(7,176)",
Total,Total,Total,5801,5801,,5625,5625,,1081,1081,
State:,State:,State:,,,,,,,,,
Current,Current,Current,1570,1570,,1519,1519,,1620,1620,
Deferred,Deferred,Deferred,(49),(49),,84,84,,(338),(338),
Total,Total,Total,1521,1521,,1603,1603,,1282,1282,
Foreign:,Foreign:,Foreign:,,,,,,,,,
Current,Current,Current,8750,8750,,8996,8996,,9424,9424,
Deferred,Deferred,Deferred,669,669,,3076,3076,,2740,2740,
Total,Total,Total,9419,9419,,12072,12072,,12164,12164,
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,16741,,$,19300,,$,14527,
