0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29
,,,2023,2023.0,2023,Change,Change,Change,2022,2022.0,2022,Change,Change,Change,2021,2021.0,2021
Research and development,Research and development,Research and development,$,29915.0,,14,14,%,$,26251.0,,20,20,%,$,21914.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,8,8.0,%,,,,7,7.0,%,,,,6,6.0,%
"Selling, general and administrative","Selling, general and administrative","Selling, general and administrative",$,24932.0,,(1),(1),%,$,25094.0,,14,14,%,$,21973.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,7,7.0,%,,,,6,6.0,%,,,,6,6.0,%
Total operating expenses,Total operating expenses,Total operating expenses,$,54847.0,,7,7,%,$,51345.0,,17,17,%,$,43887.0,
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,14,14.0,%,,,,13,13.0,%,,,,12,12.0,%
