0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023,2023.0,2022,2022,2022.0,2021,2021,2021.0
"Common stock outstanding, beginning balances","Common stock outstanding, beginning balances","Common stock outstanding, beginning balances",15943425,15943425,,16426786,16426786,,16976763,16976763,
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(471,419)","(471,419)",,"(568,589)","(568,589)",,"(656,340)","(656,340)",
"Common stock issued, net of shares withheld for employee taxes","Common stock issued, net of shares withheld for employee taxes","Common stock issued, net of shares withheld for employee taxes",78055,78055,,85228,85228,,106363,106363,
"Common stock outstanding, ending balances","Common stock outstanding, ending balances","Common stock outstanding, ending balances",15550061,15550061,,15943425,15943425,,16426786,16426786,
