0,1,2,3,4,5,9,10,11
,,,2023,2023,2023.0,2022,2022,2022.0
Land and buildings,Land and buildings,Land and buildings,$,23446,,$,22126,
"Machinery, equipment and internal-use software","Machinery, equipment and internal-use software","Machinery, equipment and internal-use software",78314,78314,,81060,81060,
Leasehold improvements,Leasehold improvements,Leasehold improvements,12839,12839,,11271,11271,
"Gross property, plant and equipment","Gross property, plant and equipment","Gross property, plant and equipment",114599,114599,,114457,114457,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"(70,884)","(70,884)",,"(72,340)","(72,340)",
"Total property, plant and equipment, net","Total property, plant and equipment, net","Total property, plant and equipment, net",$,43715,,$,42117,
