0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023.0,2023.0,2022,2022.0,2022.0,2021,2021.0,2021.0
iPhone (1),iPhone (1),iPhone (1),$,200583.0,,$,205489.0,,$,191973.0,
Mac (1),Mac (1),Mac (1),29357,29357.0,,40177,40177.0,,35190,35190.0,
iPad (1),iPad (1),iPad (1),28300,28300.0,,29292,29292.0,,31862,31862.0,
"Wearables, Home and Accessories (1)","Wearables, Home and Accessories (1)","Wearables, Home and Accessories (1)",39845,39845.0,,41241,41241.0,,38367,38367.0,
Services (2),Services (2),Services (2),85200,85200.0,,78129,78129.0,,68425,68425.0,
Total net sales,Total net sales,Total net sales,$,383285.0,,$,394328.0,,$,365817.0,
