0,1,2,3,4,5,9,10,11
,,,2023,2023,2023.0,2022,2022,2022.0
Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,,,,,,
Tax credit carryforwards,Tax credit carryforwards,Tax credit carryforwards,$,8302,,$,6962,
Accrued liabilities and other reserves,Accrued liabilities and other reserves,Accrued liabilities and other reserves,6365,6365,,6515,6515,
Capitalized research and development,Capitalized research and development,Capitalized research and development,6294,6294,,1267,1267,
Deferred revenue,Deferred revenue,Deferred revenue,4571,4571,,5742,5742,
Unrealized losses,Unrealized losses,Unrealized losses,2447,2447,,2913,2913,
Lease liabilities,Lease liabilities,Lease liabilities,2421,2421,,2400,2400,
Other,Other,Other,2343,2343,,3407,3407,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,32743,32743,,29206,29206,
Less: Valuation allowance,Less: Valuation allowance,Less: Valuation allowance,"(8,374)","(8,374)",,"(7,530)","(7,530)",
"Total deferred tax assets, net","Total deferred tax assets, net","Total deferred tax assets, net",24369,24369,,21676,21676,
Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,,,,,,
Right-of-use assets,Right-of-use assets,Right-of-use assets,2179,2179,,2163,2163,
Depreciation,Depreciation,Depreciation,1998,1998,,1582,1582,
Minimum tax on foreign earnings,Minimum tax on foreign earnings,Minimum tax on foreign earnings,1940,1940,,1983,1983,
Unrealized gains,Unrealized gains,Unrealized gains,511,511,,942,942,
Other,Other,Other,490,490,,469,469,
Total deferred tax liabilities,Total deferred tax liabilities,Total deferred tax liabilities,7118,7118,,7139,7139,
Net deferred tax assets,Net deferred tax assets,Net deferred tax assets,$,17251,,$,14537,
