0,1,2,3,4
2024,2024,2024,$,9943.0
2025,2025,2025,10775,10775.0
2026,2026,2026,12265,12265.0
2027,2027,2027,9786,9786.0
2028,2028,2028,7800,7800.0
Thereafter,Thereafter,Thereafter,56003,56003.0
Total term debt principal,Total term debt principal,Total term debt principal,$,106572.0
