0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022
,,,Adjusted Cost,Adjusted Cost,Adjusted Cost,,,,Unrealized Gains,Unrealized Gains,Unrealized Gains,,,,Unrealized Losses,Unrealized Losses,Unrealized Losses,,,,Fair Value,Fair Value,Fair Value,,,,Cash and Cash Equivalents,Cash and Cash Equivalents,Cash and Cash Equivalents,,,,Current Marketable Securities,Current Marketable Securities,Current Marketable Securities,,,,Non-Current Marketable Securities,Non-Current Marketable Securities,Non-Current Marketable Securities
Cash,Cash,Cash,$,18546,,,,,$,—,,,,,$,—,,,,,$,18546,,,,,$,18546,,,,,$,—,,,,,$,—,
Level 1:,Level 1:,Level 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money market funds,Money market funds,Money market funds,2929,2929,,,,,—,—,,,,,—,—,,,,,2929,2929,,,,,2929,2929,,,,,—,—,,,,,—,—,
Mutual funds,Mutual funds,Mutual funds,274,274,,,,,—,—,,,,,(47),(47),,,,,227,227,,,,,—,—,,,,,227,227,,,,,—,—,
Subtotal,Subtotal,Subtotal,3203,3203,,,,,—,—,,,,,(47),(47),,,,,3156,3156,,,,,2929,2929,,,,,227,227,,,,,—,—,
Level 2 (1):,Level 2 (1):,Level 2 (1):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Treasury securities,U.S. Treasury securities,U.S. Treasury securities,25134,25134,,,,,—,—,,,,,"(1,725)","(1,725)",,,,,23409,23409,,,,,338,338,,,,,5091,5091,,,,,17980,17980,
U.S. agency securities,U.S. agency securities,U.S. agency securities,5823,5823,,,,,—,—,,,,,(655),(655),,,,,5168,5168,,,,,—,—,,,,,240,240,,,,,4928,4928,
Non-U.S. government securities,Non-U.S. government securities,Non-U.S. government securities,16948,16948,,,,,2,2,,,,,"(1,201)","(1,201)",,,,,15749,15749,,,,,—,—,,,,,8806,8806,,,,,6943,6943,
Certificates of deposit and time deposits,Certificates of deposit and time deposits,Certificates of deposit and time deposits,2067,2067,,,,,—,—,,,,,—,—,,,,,2067,2067,,,,,1805,1805,,,,,262,262,,,,,—,—,
Commercial paper,Commercial paper,Commercial paper,718,718,,,,,—,—,,,,,—,—,,,,,718,718,,,,,28,28,,,,,690,690,,,,,—,—,
Corporate debt securities,Corporate debt securities,Corporate debt securities,87148,87148,,,,,9,9,,,,,"(7,707)","(7,707)",,,,,79450,79450,,,,,—,—,,,,,9023,9023,,,,,70427,70427,
Municipal securities,Municipal securities,Municipal securities,921,921,,,,,—,—,,,,,(35),(35),,,,,886,886,,,,,—,—,,,,,266,266,,,,,620,620,
Mortgage- and asset-backed securities,Mortgage- and asset-backed securities,Mortgage- and asset-backed securities,22553,22553,,,,,—,—,,,,,"(2,593)","(2,593)",,,,,19960,19960,,,,,—,—,,,,,53,53,,,,,19907,19907,
Subtotal,Subtotal,Subtotal,161312,161312,,,,,11,11,,,,,"(13,916)","(13,916)",,,,,147407,147407,,,,,2171,2171,,,,,24431,24431,,,,,120805,120805,
Total (2),Total (2),Total (2),$,183061,,,,,$,11,,,,,$,"(13,963)",,,,,$,169109,,,,,$,23646,,,,,$,24658,,,,,$,120805,
