0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023.0,2023.0,2022,2022.0,2022.0,2021,2021.0,2021.0
Numerator:,Numerator:,Numerator:,,,,,,,,,
Net income,Net income,Net income,$,96995.0,,$,99803.0,,$,94680.0,
Denominator:,Denominator:,Denominator:,,,,,,,,,
Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,15744231,15744231.0,,16215963,16215963.0,,16701272,16701272.0,
Effect of dilutive share-based awards,Effect of dilutive share-based awards,Effect of dilutive share-based awards,68316,68316.0,,109856,109856.0,,163647,163647.0,
Weighted-average diluted shares,Weighted-average diluted shares,Weighted-average diluted shares,15812547,15812547.0,,16325819,16325819.0,,16864919,16864919.0,
Basic earnings per share,Basic earnings per share,Basic earnings per share,$,6.16,,$,6.15,,$,5.67,
Diluted earnings per share,Diluted earnings per share,Diluted earnings per share,$,6.13,,$,6.11,,$,5.61,
