0,1,2,6,7,8,12,13,14
Name,Name,Name,Title,Title,Title,Date,Date,Date
/s/ Timothy D. Cook,/s/ Timothy D. Cook,/s/ Timothy D. Cook,Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),"November 2, 2023","November 2, 2023","November 2, 2023"
TIMOTHY D. COOK,TIMOTHY D. COOK,TIMOTHY D. COOK,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Luca Maestri,/s/ Luca Maestri,/s/ Luca Maestri,"Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","November 2, 2023","November 2, 2023","November 2, 2023"
LUCA MAESTRI,LUCA MAESTRI,LUCA MAESTRI,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Chris Kondo,/s/ Chris Kondo,/s/ Chris Kondo,Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),"November 2, 2023","November 2, 2023","November 2, 2023"
CHRIS KONDO,CHRIS KONDO,CHRIS KONDO,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ James A. Bell,/s/ James A. Bell,/s/ James A. Bell,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
JAMES A. BELL,JAMES A. BELL,JAMES A. BELL,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Al Gore,/s/ Al Gore,/s/ Al Gore,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
AL GORE,AL GORE,AL GORE,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Alex Gorsky,/s/ Alex Gorsky,/s/ Alex Gorsky,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
ALEX GORSKY,ALEX GORSKY,ALEX GORSKY,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Andrea Jung,/s/ Andrea Jung,/s/ Andrea Jung,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
ANDREA JUNG,ANDREA JUNG,ANDREA JUNG,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,Director and Chair of the Board,Director and Chair of the Board,Director and Chair of the Board,"November 2, 2023","November 2, 2023","November 2, 2023"
ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Monica Lozano,/s/ Monica Lozano,/s/ Monica Lozano,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
MONICA LOZANO,MONICA LOZANO,MONICA LOZANO,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
RONALD D. SUGAR,RONALD D. SUGAR,RONALD D. SUGAR,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
/s/ Susan L. Wagner,/s/ Susan L. Wagner,/s/ Susan L. Wagner,Director,Director,Director,"November 2, 2023","November 2, 2023","November 2, 2023"
SUSAN L. WAGNER,SUSAN L. WAGNER,SUSAN L. WAGNER,,,,"November 2, 2023","November 2, 2023","November 2, 2023"
