0,1,2,3,4,5,9,10,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate,Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate
2013 – 2022 debt issuances:,2013 – 2022 debt issuances:,2013 – 2022 debt issuances:,,,,,,,,,,,,,,,,,,,,,
Fixed-rate 0.000% – 4.650% notes,Fixed-rate 0.000% – 4.650% notes,Fixed-rate 0.000% – 4.650% notes,2024 – 2062,2024 – 2062,2024 – 2062,$,101322,,,,,0.03% – 6.72%,0.03% – 6.72%,0.03% – 6.72%,$,111824,,,,,0.03% – 4.78%,0.03% – 4.78%,0.03% – 4.78%
Third quarter 2023 debt issuance:,Third quarter 2023 debt issuance:,Third quarter 2023 debt issuance:,,,,,,,,,,,,,,,,,,,,,
Fixed-rate 4.000% – 4.850% notes,Fixed-rate 4.000% – 4.850% notes,Fixed-rate 4.000% – 4.850% notes,2026 – 2053,2026 – 2053,2026 – 2053,5250,5250,,,,,4.04% – 4.88%,4.04% – 4.88%,4.04% – 4.88%,—,—,,,,,,,
Total term debt principal,Total term debt principal,Total term debt principal,,,,106572,106572,,,,,,,,111824,111824,,,,,,,
"Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net",,,,(356),(356),,,,,,,,(374),(374),,,,,,,
Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,,,,"(1,113)","(1,113)",,,,,,,,"(1,363)","(1,363)",,,,,,,
Total term debt,Total term debt,Total term debt,,,,105103,105103,,,,,,,,110087,110087,,,,,,,
Less: Current portion of term debt,Less: Current portion of term debt,Less: Current portion of term debt,,,,"(9,822)","(9,822)",,,,,,,,"(11,128)","(11,128)",,,,,,,
Total non-current portion of term debt,Total non-current portion of term debt,Total non-current portion of term debt,,,,$,95281,,,,,,,,$,98959,,,,,,,
