0,1,2,6,7,8,12,13,14,18,19,20
Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Financial Statement Line Items,Financial Statement Line Items,Financial Statement Line Items,2024,2024.0,2024.0,2023,2023.0,2023.0
Right-of-use assets:,Right-of-use assets:,Right-of-use assets:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other non-current assets,Other non-current assets,Other non-current assets,$,10234.0,,$,10661.0,
Finance leases,Finance leases,Finance leases,"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",1069,1069.0,,1015,1015.0,
Total right-of-use assets,Total right-of-use assets,Total right-of-use assets,,,,$,11303.0,,$,11676.0,
Lease liabilities:,Lease liabilities:,Lease liabilities:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other current liabilities,Other current liabilities,Other current liabilities,$,1488.0,,$,1410.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,10046,10046.0,,10408,10408.0,
Finance leases,Finance leases,Finance leases,Other current liabilities,Other current liabilities,Other current liabilities,144,144.0,,165,165.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,752,752.0,,859,859.0,
Total lease liabilities,Total lease liabilities,Total lease liabilities,,,,$,12430.0,,$,12842.0,
