0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022"
"Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances",$,62146,,,,,$,50672,,,,,$,63090,
Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,73812,73812,,,,,64849,64849,,,,,57365,57365,
Common stock issued,Common stock issued,Common stock issued,1423,1423,,,,,1346,1346,,,,,1175,1175,
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(3,993)","(3,993)",,,,,"(3,521)","(3,521)",,,,,"(2,971)","(2,971)",
Share-based compensation,Share-based compensation,Share-based compensation,12034,12034,,,,,11138,11138,,,,,9280,9280,
Ending balances,Ending balances,Ending balances,83276,83276,,,,,73812,73812,,,,,64849,64849,
Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,(214),(214),,,,,"(3,068)","(3,068)",,,,,5562,5562,
Net income,Net income,Net income,93736,93736,,,,,96995,96995,,,,,99803,99803,
Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,"(15,218)","(15,218)",,,,,"(14,996)","(14,996)",,,,,"(14,793)","(14,793)",
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(1,612)","(1,612)",,,,,"(2,099)","(2,099)",,,,,"(3,454)","(3,454)",
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(95,846)","(95,846)",,,,,"(77,046)","(77,046)",,,,,"(90,186)","(90,186)",
Ending balances,Ending balances,Ending balances,"(19,154)","(19,154)",,,,,(214),(214),,,,,"(3,068)","(3,068)",
Accumulated other comprehensive income/(loss):,Accumulated other comprehensive income/(loss):,Accumulated other comprehensive income/(loss):,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(11,452)","(11,452)",,,,,"(11,109)","(11,109)",,,,,163,163,
Other comprehensive income/(loss),Other comprehensive income/(loss),Other comprehensive income/(loss),4280,4280,,,,,(343),(343),,,,,"(11,272)","(11,272)",
Ending balances,Ending balances,Ending balances,"(7,172)","(7,172)",,,,,"(11,452)","(11,452)",,,,,"(11,109)","(11,109)",
"Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances",$,56950,,,,,$,62146,,,,,$,50672,
Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,$,0.98,,,,,$,0.94,,,,,$,0.90,
