0,1,2,3,4,5,9,10,11,15,16,17
,,,2024,2024.0,2024.0,2023,2023.0,2023.0,2022,2022.0,2022.0
Americas:,Americas:,Americas:,,,,,,,,,
Net sales,Net sales,Net sales,$,167045.0,,$,162560.0,,$,169658.0,
Operating income,Operating income,Operating income,$,67656.0,,$,60508.0,,$,62683.0,
Europe:,Europe:,Europe:,,,,,,,,,
Net sales,Net sales,Net sales,$,101328.0,,$,94294.0,,$,95118.0,
Operating income,Operating income,Operating income,$,41790.0,,$,36098.0,,$,35233.0,
Greater China:,Greater China:,Greater China:,,,,,,,,,
Net sales,Net sales,Net sales,$,66952.0,,$,72559.0,,$,74200.0,
Operating income,Operating income,Operating income,$,27082.0,,$,30328.0,,$,31153.0,
Japan:,Japan:,Japan:,,,,,,,,,
Net sales,Net sales,Net sales,$,25052.0,,$,24257.0,,$,25977.0,
Operating income,Operating income,Operating income,$,12454.0,,$,11888.0,,$,12257.0,
Rest of Asia Pacific:,Rest of Asia Pacific:,Rest of Asia Pacific:,,,,,,,,,
Net sales,Net sales,Net sales,$,30658.0,,$,29615.0,,$,29375.0,
Operating income,Operating income,Operating income,$,13062.0,,$,12066.0,,$,11569.0,
