0,1,2,3,4,5,9,10,11,15,16,17
,,,Operating Leases,Operating Leases,Operating Leases,Finance Leases,Finance Leases,Finance Leases,Total,Total,Total
2025,2025,2025,$,1820,,$,171,,$,1991,
2026,2026,2026,1914,1914,,131,131,,2045,2045,
2027,2027,2027,1674,1674,,59,59,,1733,1733,
2028,2028,2028,1360,1360,,38,38,,1398,1398,
2029,2029,2029,1187,1187,,36,36,,1223,1223,
Thereafter,Thereafter,Thereafter,5563,5563,,837,837,,6400,6400,
Total undiscounted liabilities,Total undiscounted liabilities,Total undiscounted liabilities,13518,13518,,1272,1272,,14790,14790,
Less: Imputed interest,Less: Imputed interest,Less: Imputed interest,"(1,984)","(1,984)",,(376),(376),,"(2,360)","(2,360)",
Total lease liabilities,Total lease liabilities,Total lease liabilities,$,11534,,$,896,,$,12430,
