0,1,2,3,4,5,9,10,11
,,,2024,2024.0,2024.0,2023,2023.0,2023.0
Derivative instruments designated as accounting hedges:,Derivative instruments designated as accounting hedges:,Derivative instruments designated as accounting hedges:,,,,,,
Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts,$,64069.0,,$,74730.0,
Interest rate contracts,Interest rate contracts,Interest rate contracts,$,14575.0,,$,19375.0,
Derivative instruments not designated as accounting hedges:,Derivative instruments not designated as accounting hedges:,Derivative instruments not designated as accounting hedges:,,,,,,
Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts,$,91493.0,,$,104777.0,
