0,1,2,3,4,5,9,10,11
,,,2024,2024,2024.0,2023,2023,2023.0
Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,,,,,,
Capitalized research and development,Capitalized research and development,Capitalized research and development,$,10739,,$,6294,
Tax credit carryforwards,Tax credit carryforwards,Tax credit carryforwards,8856,8856,,8302,8302,
Accrued liabilities and other reserves,Accrued liabilities and other reserves,Accrued liabilities and other reserves,6114,6114,,6365,6365,
Deferred revenue,Deferred revenue,Deferred revenue,3413,3413,,4571,4571,
Lease liabilities,Lease liabilities,Lease liabilities,2410,2410,,2421,2421,
Unrealized losses,Unrealized losses,Unrealized losses,1173,1173,,2447,2447,
Other,Other,Other,2168,2168,,2343,2343,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,34873,34873,,32743,32743,
Less: Valuation allowance,Less: Valuation allowance,Less: Valuation allowance,"(8,866)","(8,866)",,"(8,374)","(8,374)",
"Total deferred tax assets, net","Total deferred tax assets, net","Total deferred tax assets, net",26007,26007,,24369,24369,
Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,,,,,,
Depreciation,Depreciation,Depreciation,2551,2551,,1998,1998,
Right-of-use assets,Right-of-use assets,Right-of-use assets,2125,2125,,2179,2179,
Minimum tax on foreign earnings,Minimum tax on foreign earnings,Minimum tax on foreign earnings,1674,1674,,1940,1940,
Unrealized gains,Unrealized gains,Unrealized gains,—,—,,511,511,
Other,Other,Other,455,455,,490,490,
Total deferred tax liabilities,Total deferred tax liabilities,Total deferred tax liabilities,6805,6805,,7118,7118,
Net deferred tax assets,Net deferred tax assets,Net deferred tax assets,$,19202,,$,17251,
