0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022"
Net sales:,Net sales:,Net sales:,,,,,,,,,,,,,,,
Products,Products,Products,$,294866,,,,,$,298085,,,,,$,316199,
Services,Services,Services,96169,96169,,,,,85200,85200,,,,,78129,78129,
Total net sales,Total net sales,Total net sales,391035,391035,,,,,383285,383285,,,,,394328,394328,
Cost of sales:,Cost of sales:,Cost of sales:,,,,,,,,,,,,,,,
Products,Products,Products,185233,185233,,,,,189282,189282,,,,,201471,201471,
Services,Services,Services,25119,25119,,,,,24855,24855,,,,,22075,22075,
Total cost of sales,Total cost of sales,Total cost of sales,210352,210352,,,,,214137,214137,,,,,223546,223546,
Gross margin,Gross margin,Gross margin,180683,180683,,,,,169148,169148,,,,,170782,170782,
Operating expenses:,Operating expenses:,Operating expenses:,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,31370,31370,,,,,29915,29915,,,,,26251,26251,
"Selling, general and administrative","Selling, general and administrative","Selling, general and administrative",26097,26097,,,,,24932,24932,,,,,25094,25094,
Total operating expenses,Total operating expenses,Total operating expenses,57467,57467,,,,,54847,54847,,,,,51345,51345,
Operating income,Operating income,Operating income,123216,123216,,,,,114301,114301,,,,,119437,119437,
"Other income/(expense), net","Other income/(expense), net","Other income/(expense), net",269,269,,,,,(565),(565),,,,,(334),(334),
Income before provision for income taxes,Income before provision for income taxes,Income before provision for income taxes,123485,123485,,,,,113736,113736,,,,,119103,119103,
Provision for income taxes,Provision for income taxes,Provision for income taxes,29749,29749,,,,,16741,16741,,,,,19300,19300,
Net income,Net income,Net income,$,93736,,,,,$,96995,,,,,$,99803,
Earnings per share:,Earnings per share:,Earnings per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,6.11,,,,,$,6.16,,,,,$,6.15,
Diluted,Diluted,Diluted,$,6.08,,,,,$,6.13,,,,,$,6.11,
Shares used in computing earnings per share:,Shares used in computing earnings per share:,Shares used in computing earnings per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,15343783,15343783,,,,,15744231,15744231,,,,,16215963,16215963,
Diluted,Diluted,Diluted,15408095,15408095,,,,,15812547,15812547,,,,,16325819,16325819,
