0,1,2,3,4
2025,2025,2025,$,10930.0
2026,2026,2026,12342,12342.0
2027,2027,2027,9936,9936.0
2028,2028,2028,7800,7800.0
2029,2029,2029,5153,5153.0
Thereafter,Thereafter,Thereafter,51180,51180.0
Total term debt principal,Total term debt principal,Total term debt principal,$,97341.0
