0,1,2,3,4,5,6,7,8
,,,,,,Page,Page,Page
Part I,Part I,Part I,Part I,Part I,Part I,Part I,Part I,Part I
Item 1.,Item 1.,Item 1.,Business,Business,Business,1,1,1
Item 1A.,Item 1A.,Item 1A.,Risk Factors,Risk Factors,Risk Factors,5,5,5
Item 1B.,Item 1B.,Item 1B.,Unresolved Staff Comments,Unresolved Staff Comments,Unresolved Staff Comments,17,17,17
Item 1C.,Item 1C.,Item 1C.,Cybersecurity,Cybersecurity,Cybersecurity,17,17,17
Item 2.,Item 2.,Item 2.,Properties,Properties,Properties,18,18,18
Item 3.,Item 3.,Item 3.,Legal Proceedings,Legal Proceedings,Legal Proceedings,18,18,18
Item 4.,Item 4.,Item 4.,Mine Safety Disclosures,Mine Safety Disclosures,Mine Safety Disclosures,18,18,18
Part II,Part II,Part II,Part II,Part II,Part II,Part II,Part II,Part II
Item 5.,Item 5.,Item 5.,"Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities","Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities","Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",19,19,19
Item 6.,Item 6.,Item 6.,[Reserved],[Reserved],[Reserved],20,20,20
Item 7.,Item 7.,Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,21,21,21
Item 7A.,Item 7A.,Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,27,27,27
Item 8.,Item 8.,Item 8.,Financial Statements and Supplementary Data,Financial Statements and Supplementary Data,Financial Statements and Supplementary Data,28,28,28
Item 9.,Item 9.,Item 9.,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,51,51,51
Item 9A.,Item 9A.,Item 9A.,Controls and Procedures,Controls and Procedures,Controls and Procedures,51,51,51
Item 9B.,Item 9B.,Item 9B.,Other Information,Other Information,Other Information,52,52,52
Item 9C.,Item 9C.,Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,52,52,52
Part III,Part III,Part III,Part III,Part III,Part III,Part III,Part III,Part III
Item 10.,Item 10.,Item 10.,"Directors, Executive Officers and Corporate Governance","Directors, Executive Officers and Corporate Governance","Directors, Executive Officers and Corporate Governance",52,52,52
Item 11.,Item 11.,Item 11.,Executive Compensation,Executive Compensation,Executive Compensation,52,52,52
Item 12.,Item 12.,Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,52,52,52
Item 13.,Item 13.,Item 13.,"Certain Relationships and Related Transactions, and Director Independence","Certain Relationships and Related Transactions, and Director Independence","Certain Relationships and Related Transactions, and Director Independence",52,52,52
Item 14.,Item 14.,Item 14.,Principal Accountant Fees and Services,Principal Accountant Fees and Services,Principal Accountant Fees and Services,52,52,52
Part IV,Part IV,Part IV,Part IV,Part IV,Part IV,Part IV,Part IV,Part IV
Item 15.,Item 15.,Item 15.,Exhibit and Financial Statement Schedules,Exhibit and Financial Statement Schedules,Exhibit and Financial Statement Schedules,53,53,53
Item 16.,Item 16.,Item 16.,Form 10-K Summary,Form 10-K Summary,Form 10-K Summary,56,56,56
