0,1,2,3,4,5,9,10,11,15,16,17
,,,Number ofRSUs(in thousands),Number ofRSUs(in thousands),Number ofRSUs(in thousands),Weighted-AverageGrant-Date FairValue Per RSU,Weighted-AverageGrant-Date FairValue Per RSU,Weighted-AverageGrant-Date FairValue Per RSU,AggregateFair Value(in millions),AggregateFair Value(in millions),AggregateFair Value(in millions)
"Balance as of September 25, 2021","Balance as of September 25, 2021","Balance as of September 25, 2021",240427,240427,,$,75.16,,,,
RSUs granted,RSUs granted,RSUs granted,91674,91674,,$,150.70,,,,
RSUs vested,RSUs vested,RSUs vested,"(115,861)","(115,861)",,$,72.12,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(14,739)","(14,739)",,$,99.77,,,,
"Balance as of September 24, 2022","Balance as of September 24, 2022","Balance as of September 24, 2022",201501,201501,,$,109.48,,,,
RSUs granted,RSUs granted,RSUs granted,88768,88768,,$,150.87,,,,
RSUs vested,RSUs vested,RSUs vested,"(101,878)","(101,878)",,$,97.31,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(8,144)","(8,144)",,$,127.98,,,,
"Balance as of September 30, 2023","Balance as of September 30, 2023","Balance as of September 30, 2023",180247,180247,,$,135.91,,,,
RSUs granted,RSUs granted,RSUs granted,80456,80456,,$,173.78,,,,
RSUs vested,RSUs vested,RSUs vested,"(87,633)","(87,633)",,$,127.59,,,,
RSUs canceled,RSUs canceled,RSUs canceled,"(9,744)","(9,744)",,$,140.80,,,,
"Balance as of September 28, 2024","Balance as of September 28, 2024","Balance as of September 28, 2024",163326,163326,,$,158.73,,$,37204,
