0,1,2,3,4
2025,2025,2025,$,3206.0
2026,2026,2026,2440,2440.0
2027,2027,2027,1156,1156.0
2028,2028,2028,3121,3121.0
2029,2029,2029,633,633.0
Thereafter,Thereafter,Thereafter,670,670.0
Total,Total,Total,$,11226.0
