0,1,2,3,4,5,6,7,8,9,10,11
,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023"
ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:
Current assets:,Current assets:,Current assets:,,,,,,,,,
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,$,29943,,,,,$,29965,
Marketable securities,Marketable securities,Marketable securities,35228,35228,,,,,31590,31590,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net",33410,33410,,,,,29508,29508,
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,32833,32833,,,,,31477,31477,
Inventories,Inventories,Inventories,7286,7286,,,,,6331,6331,
Other current assets,Other current assets,Other current assets,14287,14287,,,,,14695,14695,
Total current assets,Total current assets,Total current assets,152987,152987,,,,,143566,143566,
Non-current assets:,Non-current assets:,Non-current assets:,,,,,,,,,
Marketable securities,Marketable securities,Marketable securities,91479,91479,,,,,100544,100544,
"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",45680,45680,,,,,43715,43715,
Other non-current assets,Other non-current assets,Other non-current assets,74834,74834,,,,,64758,64758,
Total non-current assets,Total non-current assets,Total non-current assets,211993,211993,,,,,209017,209017,
Total assets,Total assets,Total assets,$,364980,,,,,$,352583,
LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:
Current liabilities:,Current liabilities:,Current liabilities:,,,,,,,,,
Accounts payable,Accounts payable,Accounts payable,$,68960,,,,,$,62611,
Other current liabilities,Other current liabilities,Other current liabilities,78304,78304,,,,,58829,58829,
Deferred revenue,Deferred revenue,Deferred revenue,8249,8249,,,,,8061,8061,
Commercial paper,Commercial paper,Commercial paper,9967,9967,,,,,5985,5985,
Term debt,Term debt,Term debt,10912,10912,,,,,9822,9822,
Total current liabilities,Total current liabilities,Total current liabilities,176392,176392,,,,,145308,145308,
Non-current liabilities:,Non-current liabilities:,Non-current liabilities:,,,,,,,,,
Term debt,Term debt,Term debt,85750,85750,,,,,95281,95281,
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,45888,45888,,,,,49848,49848,
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,131638,131638,,,,,145129,145129,
Total liabilities,Total liabilities,Total liabilities,308030,308030,,,,,290437,290437,
Commitments and contingencies,Commitments and contingencies,Commitments and contingencies,,,,,,,,,
Shareholders’ equity:,Shareholders’ equity:,Shareholders’ equity:,,,,,,,,,
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,116,786 and 15,550,061 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,116,786 and 15,550,061 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 15,116,786 and 15,550,061 shares issued and outstanding, respectively",83276,83276,,,,,73812,73812,
Accumulated deficit,Accumulated deficit,Accumulated deficit,"(19,154)","(19,154)",,,,,(214),(214),
Accumulated other comprehensive loss,Accumulated other comprehensive loss,Accumulated other comprehensive loss,"(7,172)","(7,172)",,,,,"(11,452)","(11,452)",
Total shareholders’ equity,Total shareholders’ equity,Total shareholders’ equity,56950,56950,,,,,62146,62146,
Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,$,364980,,,,,$,352583,
