0,1,2,6,7,8,12,13,14,18,19,20,24,25,26,30,31,32,36,37,38
,,,September 2019,September 2019,September 2019,September 2020,September 2020,September 2020,September 2021,September 2021,September 2021,September 2022,September 2022,September 2022,September 2023,September 2023,September 2023,September 2024,September 2024,September 2024
Apple Inc.,Apple Inc.,Apple Inc.,$,100,,$,207,,$,273,,$,281,,$,322,,$,430,
S&P 500 Index,S&P 500 Index,S&P 500 Index,$,100,,$,113,,$,156,,$,131,,$,155,,$,210,
Dow Jones U.S. Technology Supersector Index,Dow Jones U.S. Technology Supersector Index,Dow Jones U.S. Technology Supersector Index,$,100,,$,146,,$,216,,$,156,,$,215,,$,322,
