0,1,2,3,4,5,9,10,11,15,16,17
,,,2024,2024.0,2024.0,2023,2023.0,2023.0,2022,2022.0,2022.0
iPhone,iPhone,iPhone,$,201183.0,,$,200583.0,,$,205489.0,
Mac,Mac,Mac,29984,29984.0,,29357,29357.0,,40177,40177.0,
iPad,iPad,iPad,26694,26694.0,,28300,28300.0,,29292,29292.0,
"Wearables, Home and Accessories","Wearables, Home and Accessories","Wearables, Home and Accessories",37005,37005.0,,39845,39845.0,,41241,41241.0,
Services (1),Services (1),Services (1),96169,96169.0,,85200,85200.0,,78129,78129.0,
Total net sales,Total net sales,Total net sales,$,391035.0,,$,383285.0,,$,394328.0,
