0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022"
Net income,Net income,Net income,$,93736,,,,,$,96995,,,,,$,99803,
Other comprehensive income/(loss):,Other comprehensive income/(loss):,Other comprehensive income/(loss):,,,,,,,,,,,,,,,
"Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax",395,395,,,,,(765),(765),,,,,"(1,511)","(1,511)",
"Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:",,,,,,,,,,,,,,,
Change in fair value of derivative instruments,Change in fair value of derivative instruments,Change in fair value of derivative instruments,(832),(832),,,,,323,323,,,,,3212,3212,
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,"(1,337)","(1,337)",,,,,"(1,717)","(1,717)",,,,,"(1,074)","(1,074)",
Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,"(2,169)","(2,169)",,,,,"(1,394)","(1,394)",,,,,2138,2138,
"Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:",,,,,,,,,,,,,,,
Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,5850,5850,,,,,1563,1563,,,,,"(12,104)","(12,104)",
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,204,204,,,,,253,253,,,,,205,205,
Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,6054,6054,,,,,1816,1816,,,,,"(11,899)","(11,899)",
Total other comprehensive income/(loss),Total other comprehensive income/(loss),Total other comprehensive income/(loss),4280,4280,,,,,(343),(343),,,,,"(11,272)","(11,272)",
Total comprehensive income,Total comprehensive income,Total comprehensive income,$,98016,,,,,$,96652,,,,,$,88531,
