0,1,2,6,7,8,12,13,14
Name,Name,Name,Title,Title,Title,Date,Date,Date
/s/ Timothy D. Cook,/s/ Timothy D. Cook,/s/ Timothy D. Cook,Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),"November 1, 2024","November 1, 2024","November 1, 2024"
TIMOTHY D. COOK,TIMOTHY D. COOK,TIMOTHY D. COOK,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Luca Maestri,/s/ Luca Maestri,/s/ Luca Maestri,"Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","November 1, 2024","November 1, 2024","November 1, 2024"
LUCA MAESTRI,LUCA MAESTRI,LUCA MAESTRI,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Chris Kondo,/s/ Chris Kondo,/s/ Chris Kondo,Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),"November 1, 2024","November 1, 2024","November 1, 2024"
CHRIS KONDO,CHRIS KONDO,CHRIS KONDO,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Wanda Austin,/s/ Wanda Austin,/s/ Wanda Austin,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
WANDA AUSTIN,WANDA AUSTIN,WANDA AUSTIN,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Alex Gorsky,/s/ Alex Gorsky,/s/ Alex Gorsky,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
ALEX GORSKY,ALEX GORSKY,ALEX GORSKY,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Andrea Jung,/s/ Andrea Jung,/s/ Andrea Jung,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
ANDREA JUNG,ANDREA JUNG,ANDREA JUNG,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,Director and Chair of the Board,Director and Chair of the Board,Director and Chair of the Board,"November 1, 2024","November 1, 2024","November 1, 2024"
ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Monica Lozano,/s/ Monica Lozano,/s/ Monica Lozano,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
MONICA LOZANO,MONICA LOZANO,MONICA LOZANO,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
RONALD D. SUGAR,RONALD D. SUGAR,RONALD D. SUGAR,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
/s/ Susan L. Wagner,/s/ Susan L. Wagner,/s/ Susan L. Wagner,Director,Director,Director,"November 1, 2024","November 1, 2024","November 1, 2024"
SUSAN L. WAGNER,SUSAN L. WAGNER,SUSAN L. WAGNER,,,,"November 1, 2024","November 1, 2024","November 1, 2024"
