0,1,2,3,4,5,9,10,11
,,,2024,2024,2024.0,2023,2023,2023.0
Land and buildings,Land and buildings,Land and buildings,$,24690,,$,23446,
"Machinery, equipment and internal-use software","Machinery, equipment and internal-use software","Machinery, equipment and internal-use software",80205,80205,,78314,78314,
Leasehold improvements,Leasehold improvements,Leasehold improvements,14233,14233,,12839,12839,
"Gross property, plant and equipment","Gross property, plant and equipment","Gross property, plant and equipment",119128,119128,,114599,114599,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"(73,448)","(73,448)",,"(70,884)","(70,884)",
"Total property, plant and equipment, net","Total property, plant and equipment, net","Total property, plant and equipment, net",$,45680,,$,43715,
