0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022"
"Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances",$,30737,,,,,$,24977,,,,,$,35929,
Operating activities:,Operating activities:,Operating activities:,,,,,,,,,,,,,,,
Net income,Net income,Net income,93736,93736,,,,,96995,96995,,,,,99803,99803,
Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,,,,,,,,,,,,,,,
Depreciation and amortization,Depreciation and amortization,Depreciation and amortization,11445,11445,,,,,11519,11519,,,,,11104,11104,
Share-based compensation expense,Share-based compensation expense,Share-based compensation expense,11688,11688,,,,,10833,10833,,,,,9038,9038,
Other,Other,Other,"(2,266)","(2,266)",,,,,"(2,227)","(2,227)",,,,,1006,1006,
Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,,,,,,,,,,,,,,,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net","(3,788)","(3,788)",,,,,"(1,688)","(1,688)",,,,,"(1,823)","(1,823)",
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,"(1,356)","(1,356)",,,,,1271,1271,,,,,"(7,520)","(7,520)",
Inventories,Inventories,Inventories,"(1,046)","(1,046)",,,,,"(1,618)","(1,618)",,,,,1484,1484,
Other current and non-current assets,Other current and non-current assets,Other current and non-current assets,"(11,731)","(11,731)",,,,,"(5,684)","(5,684)",,,,,"(6,499)","(6,499)",
Accounts payable,Accounts payable,Accounts payable,6020,6020,,,,,"(1,889)","(1,889)",,,,,9448,9448,
Other current and non-current liabilities,Other current and non-current liabilities,Other current and non-current liabilities,15552,15552,,,,,3031,3031,,,,,6110,6110,
Cash generated by operating activities,Cash generated by operating activities,Cash generated by operating activities,118254,118254,,,,,110543,110543,,,,,122151,122151,
Investing activities:,Investing activities:,Investing activities:,,,,,,,,,,,,,,,
Purchases of marketable securities,Purchases of marketable securities,Purchases of marketable securities,"(48,656)","(48,656)",,,,,"(29,513)","(29,513)",,,,,"(76,923)","(76,923)",
Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,51211,51211,,,,,39686,39686,,,,,29917,29917,
Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,11135,11135,,,,,5828,5828,,,,,37446,37446,
"Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","(9,447)","(9,447)",,,,,"(10,959)","(10,959)",,,,,"(10,708)","(10,708)",
Other,Other,Other,"(1,308)","(1,308)",,,,,"(1,337)","(1,337)",,,,,"(2,086)","(2,086)",
Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,2935,2935,,,,,3705,3705,,,,,"(22,354)","(22,354)",
Financing activities:,Financing activities:,Financing activities:,,,,,,,,,,,,,,,
Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,"(5,441)","(5,441)",,,,,"(5,431)","(5,431)",,,,,"(6,223)","(6,223)",
Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,"(15,234)","(15,234)",,,,,"(15,025)","(15,025)",,,,,"(14,841)","(14,841)",
Repurchases of common stock,Repurchases of common stock,Repurchases of common stock,"(94,949)","(94,949)",,,,,"(77,550)","(77,550)",,,,,"(89,402)","(89,402)",
"Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net",—,—,,,,,5228,5228,,,,,5465,5465,
Repayments of term debt,Repayments of term debt,Repayments of term debt,"(9,958)","(9,958)",,,,,"(11,151)","(11,151)",,,,,"(9,543)","(9,543)",
"Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net",3960,3960,,,,,"(3,978)","(3,978)",,,,,3955,3955,
Other,Other,Other,(361),(361),,,,,(581),(581),,,,,(160),(160),
Cash used in financing activities,Cash used in financing activities,Cash used in financing activities,"(121,983)","(121,983)",,,,,"(108,488)","(108,488)",,,,,"(110,749)","(110,749)",
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",(794),(794),,,,,5760,5760,,,,,"(10,952)","(10,952)",
"Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances",$,29943,,,,,$,30737,,,,,$,24977,
Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,,,,,,,,,,,,,,,
"Cash paid for income taxes, net","Cash paid for income taxes, net","Cash paid for income taxes, net",$,26102,,,,,$,18679,,,,,$,19573,
