0,1,2,3,4,5,9,10,11
,,,2024,2024,2024.0,2023,2023,2023.0
Hedged assets/(liabilities):,Hedged assets/(liabilities):,Hedged assets/(liabilities):,,,,,,
Current and non-current marketable securities,Current and non-current marketable securities,Current and non-current marketable securities,$,—,,$,14433,
Current and non-current term debt,Current and non-current term debt,Current and non-current term debt,$,"(13,505)",,$,"(18,247)",
